loss,mse,val_loss,val_mse,lr
0.8362,0.4675,1.3835,1.0423,0.0001
0.603,0.2852,0.6003,0.3051,0.0001
0.5086,0.2347,0.5696,0.3166,0.0001
0.4384,0.2054,0.9833,0.7699,0.0001
0.3841,0.1893,0.9251,0.7486,0.0001
0.3266,0.1673,1.4905,1.348,0.0001
0.2796,0.1527,0.9685,0.8567,0.0001
0.2283,0.1181,0.5121,0.4036,1e-05
0.2154,0.109,0.3994,0.2953,1e-05
0.2056,0.1042,0.3536,0.255,1e-05
0.1945,0.0992,0.2854,0.1934,1e-05
0.1842,0.0959,0.2038,0.1195,1e-05
0.172,0.0917,0.2226,0.1465,1e-05
0.1611,0.0893,0.1849,0.1174,1e-05
0.152,0.0887,0.1638,0.1044,1e-05
0.1665,0.1154,0.1604,0.1151,1e-05
0.1436,0.1012,0.1525,0.1123,1e-05
0.1303,0.0917,0.1505,0.1133,1e-05
0.123,0.087,0.1438,0.1088,1e-05
0.1178,0.0837,0.1434,0.1102,1e-05
0.1122,0.0798,0.1483,0.1167,1e-05
0.1097,0.0788,0.1554,0.1251,1e-05
0.105,0.0754,0.13,0.1011,1e-05
0.1004,0.072,0.1343,0.1065,1e-05
0.0958,0.0685,0.1317,0.1049,1e-05
0.0942,0.0679,0.1251,0.0993,1e-05
0.0914,0.066,0.1319,0.107,1e-05
0.0875,0.063,0.119,0.0949,1e-05
0.0836,0.0599,0.1207,0.0974,1e-05
0.0814,0.0585,0.1237,0.1011,1e-05
0.0805,0.0583,0.1256,0.1037,1e-05
0.0762,0.0547,0.1189,0.0977,1e-05
0.0694,0.0482,0.1193,0.0982,1e-06
0.0694,0.0482,0.1156,0.0945,1e-06
0.0675,0.0465,0.1144,0.0934,1e-06
0.0681,0.0471,0.1127,0.0918,1e-06
0.0674,0.0465,0.1128,0.0919,1e-06
0.0677,0.0469,0.1114,0.0906,1e-06
0.0664,0.0456,0.1097,0.089,1e-06
0.0663,0.0457,0.1088,0.0881,1e-06
0.0661,0.0455,0.1086,0.088,1e-06
0.0647,0.0441,0.1084,0.0879,1e-06
0.0646,0.0441,0.1072,0.0868,1e-06
0.065,0.0446,0.1076,0.0873,1e-06
0.0638,0.0435,0.1074,0.0871,1e-06
0.0627,0.0425,0.1068,0.0865,1e-06
0.0628,0.0427,0.1071,0.0869,1e-06
0.0615,0.0414,0.1075,0.0874,1e-06
0.0633,0.0433,0.1093,0.0893,1e-06
0.0619,0.042,0.1086,0.0887,1e-06
