loss,mse,val_loss,val_mse,lr
0.7149,0.5244,0.4174,0.233,0.0001
0.4901,0.313,0.3392,0.1697,0.0001
0.4117,0.2502,0.3137,0.1602,0.0001
0.3472,0.2019,0.2574,0.1201,0.0001
0.307,0.1775,0.2725,0.1506,0.0001
0.269,0.1543,0.2312,0.1237,0.0001
0.2379,0.1372,0.2203,0.1262,0.0001
0.2169,0.1291,0.2027,0.1209,0.0001
0.2002,0.1239,0.18,0.1091,0.0001
0.1829,0.117,0.1746,0.1133,0.0001
0.1691,0.1121,0.161,0.1081,0.0001
0.155,0.1058,0.1315,0.0859,0.0001
0.1452,0.1029,0.1218,0.0826,0.0001
0.1356,0.0992,0.1365,0.1029,0.0001
0.1239,0.0927,0.1638,0.135,0.0001
0.1508,0.1225,0.122,0.094,1e-05
0.1202,0.0925,0.111,0.0836,1e-05
0.1096,0.0825,0.116,0.0892,1e-05
0.1074,0.081,0.117,0.0908,1e-05
0.1006,0.0747,0.1106,0.085,1e-05
0.0979,0.0726,0.1025,0.0775,1e-05
0.0953,0.0706,0.1013,0.0769,1e-05
0.0911,0.0669,0.1034,0.0795,1e-05
0.0902,0.0666,0.102,0.0786,1e-05
0.0859,0.0628,0.1042,0.0813,1e-05
0.0865,0.0639,0.1042,0.0818,1e-05
0.0832,0.0609,0.1005,0.0782,1e-06
0.0802,0.058,0.0986,0.0764,1e-06
0.0787,0.0565,0.0998,0.0776,1e-06
0.0795,0.0573,0.098,0.0758,1e-06
0.0783,0.0562,0.1004,0.0783,1e-06
0.0791,0.0571,0.0986,0.0765,1e-06
0.0772,0.0552,0.0988,0.0769,1e-06
0.0794,0.0575,0.0983,0.0764,1e-06
0.077,0.055,0.0976,0.0757,1e-07
0.0784,0.0565,0.0985,0.0766,1e-07
0.0765,0.0546,0.0994,0.0775,1e-07
0.0793,0.0574,0.1014,0.0795,1e-07
0.0758,0.0539,0.098,0.0761,1e-07
0.0773,0.0554,0.0982,0.0763,1e-08
0.0777,0.0558,0.0982,0.0763,1e-08
0.0787,0.0568,0.0977,0.0758,1e-08
0.0786,0.0567,0.0997,0.0778,1e-08
0.077,0.0551,0.0987,0.0768,1e-09
